파스텔 기본 네일로 하려구요.,パステルのベーシックネイルにしようと思います。
"근데 나 줄넘기가 없는데, 혹시 너 안쓰는 줄넘기 있어?",でも私、縄跳び持ってないけど、君って使ってない縄跳びある?
영수증 잃어버렸는데 방법이 없나요?,領収書を失くしてしまったんですが、別の方法はありませんか?
나는 아이스 카라멜 마끼아또 마셔야지.,私はアイスキャラメルキャラメルマキアートにしようと。
그러게여 선생님 다시는 보지마요.,そうですね。先生、もう二度と見ないでください。
"오늘은 내가 다 영어로 얘기 할 테니까, 너는 잘 따라오기만해.",今日は私が全部英語で話すから、あなたはついてくるだけでいいよ。
이쁜 카페에 가자!,かわいいカフェに行こう!
내가 검색해놨지.,私が検索しておいた。
뭔가 오해가 있는것같은데.,なにか誤解があるみたいだけど。
난 네 뒷담 깐적없어.,私はあなたの悪口を言ったことがない。
어떤 방으로 예약하시겠어요?,どのお部屋をご予約なさいますか?
스위트룸 어른 두분에 아이한명 1박 예약 되셨구요 결제는 바로 해드릴까요?,スイートルームを大人2名様にお子様1名様で一泊のご予約を承りました、お会計の方も今お手伝いしましょうか?
너가 예매좀 해줘.,お前が予約してくれ。
농담이지 농담.,冗談だよ、冗談。
초코파이는 오리온이 더 인기 많아요.,チョコパイはオリオンのほうが人気があります。
경복궁 근처에 가면 한복 대여점이 많이 있대.,景福宮の近くに行けば、韓服レンタル店がたくさんあるそうだ。
와 정말 완벽하게 준비했네.,わ、本当に完璧に準備したね。
또 언제 미국 와보겠냐.,またいつ米国に来れると思うんだ。
이게 다 좋은 경험이지 사진도 많이 찍자.,これも全部良い経験だよ。写真もたくさん撮ろう。
걱정 넣어두셔요~ 베이킹에 소질이 있을 것 같은 느낌적인 느낌이 듭니다.,心配はいりませんよ~ベーキングに素質がありそうな感じがします。
나 간단히 과자라도 먹고 있을게.,私は軽くお菓子でも食べているね。
등근육은 랫풀다운을 해보세요.,背筋はラットプルダウンをしてみてください。
우리는 너무 천천히 먹는 것 같아.,私たちはとてもゆっくり食べているみたい。
자세 좀 알려주시겠어요.,詳しく教えていただけますか。
먼저 들어가서 기다리자.,先に入って待とう。
우리 오늘 부산으로 가기로 했잖아.,私たち今日釜山に行くことにしたんじゃない。
사야 하는 거는 지갑이지.,買うべきは財布だよ。
방 청소는 언제 언제 하죠.,部屋の掃除はいつ、いつやりましょうか。
샘플을 보고 결정해도 될까요?,サンプルを見て決めてもいいですか?
"이달의 아트 하고 싶은데, 색상이나 약간의 디자인 변경 가능할까요?",今月のアートにしたいのですが、色やちょっとしたデザインの変更はできますか?
난 매콤한 떡볶이 먹을래.,私は辛いトッポギ食べる。
우리 기차타고 논산가기로 했잖아.,私たち電車に乗って論山に行くことにしたじゃないのか。
울산에서 유명한 국밥집이 있다고 했었어 거기 가자.,蔚山で有名なクッパ店があると言っていたから、そこへ行こう。
우리나라에 없는 화장품을 사야지.,私の国にない化粧品を買わないと。
예약했는데 체크인해주세요.,予約してあるのですが、チェックインしてください。
흠.모르겠는데 찾아보자.,うーん。わからないけど、探してみよう。
돈가스 먹어보고싶은데!,とんかつを食べてみたいんだけど!
비빔밥이랑 콩국수가 맛있을 것 같아.,ビビンバとコングックスが美味しそうだ。
영화 우리 자주 봤는데 또 봐?,私たち、かなりの頻度で映画を見に行ってるけど、またなの?
영화보자.뭐 보고싶어?,映画を見よう。何が見たい?
젤네일 지우고 새로 하고 싶어요.,ジェルネイルのオフして新しくやりたいです。
최대한 화려하게 부탁드려요.,できるだけ派手にお願いします。
부모님이랑 형 선물 사려고.,両親と兄へのお土産です。
그치 여기 너무 좋은거 같다~,そう、こことてもいいと思うー
얼른 주문부터 하자.,早く注文からしよう。
B5 좌석은 여기서 쭉 가다가 저기 저 파란색 간판 같이 생긴곳에서 왼쪽으로 돌면 됩니다.,B5の座席はここからまっすぐ行って、あそこのあの青い看板のようなところで左側に曲れば結構です。
오른쪽으로 쭉 가셔서 보이는 B구역에서 5번째 자리입니다.,右へまっすぐ行って、Bエリアの5番目の席です。
나는 양주랑 담배 살거야.,私は洋酒とタバコを買う。
할머니 선물 사려고~!,おばあちゃんのおみやげ買おうとー!
마카롱은 안에 들어가는 꼬크가 제일 중요해요.,マカロンは中に入るコックが一番重要です。
그러게 어디에 음식점들이 있는지 찾아보자.,そうだね。飲食店がどこにあるか探してみよう。
왜 제때 안 왔어.,どうして時間通りに来なかったの。
어디 찾으시는건가요?,どこをお探しでしょうか?
이동네 사람이 어디든 잘 알아요.,この町の住人の方がどこでもよく知っていますよ。
어딜 가려고 하시는데요?,どこへいらっしゃるご予定でしょうか。
어떤일을 도와드릴까요?,ご用件は何でしょうか?
치즈떡볶이 1인분이랑 순대 1인분 주세요.,チーズトッポギを一人前とスンデを一人前ください。
"안녕하세요, 베이킹 클래스 등록하려고하는데요.",こんにちは、ベーキングクラスの登録をしたいのですが。
안녕하세요 고등어가 어디에 있어요?,こんにちは、サバはどこにありますか?
"나야 좋지, 근데 코로나 때문에 영화관 닫지 않았을까?",私はいいよ。でも、コロナの影響で映画館は閉まっているのではないかな?
오늘은 2 단줄넘기요.,今日は2段跳びです。
반가워요 저는 커피를 좋아하는 티나에요.,はじめまして、私はコーヒーが好きなティナです。
나 백화점 가서 화장품 좀 구경하고 싶어.,私、デパートに行って化粧品をちょっと見てみたい。
좌측으로 쭉 걸어가시면 있습니다.,左にまっすぐ歩かれるとあります。
그래도 여름이니까!,でも夏だから!
진짜 창렬하다.튀김도 몇개 안줘.,本当にコスパが低い。天ぷらもあまりくれない。
나 할래.,私、やる。
국산이 더 고소하고 좋아여.,国産の方が香ばしくていいですよ。
가격은 상관없어요 알려주세요.,値段は構いません、教えてください。
그래서 그런지 즐거워 보이네요.,だからか、楽しそうですね。
무거우니까 조심히 들고.,重いので気をつけて持って。
고객님 그러면 첫 트레이닝 예약 일정은 언제가 편하세요?,お客様、でしたら初回トレーニングの予約日程はいつがご都合がよろしいですか?
매운 맛은 조절할 수 있다며?,辛さは調整ができるって?
안맵게도 할 수 있을걸?,辛くないようにできるだろう。
네.정말 공기도 좋고 구경할곳도 많아요.,はい。本当に空気もいいし、見どころもたくさんありますよ。
자 일단 손씻고 밀가루반죽 시작해볼께요~,さて、まず手を洗って小麦粉をこねることから始めましょう~
일단 검색 좀 해보자.,とりあえず検索してみましょう。
우리 밥먹고 수영이나 하자.,私たち、ご飯を食べて泳ぎでもしよう。
나는 무조건 크림이야!,俺は絶対にクリームだ!
나중에 룸서비스도 시켜먹자.,後でルームサービスも頼みましょう。
그만큼 쎄게 던졌다는거지.,それだけ強く投げたということだ。
그건 무슨 내용이야?,それはどういう内容なの?
갈치가 참 싱싱해 보이네요.,タチウオがとても新鮮そうですね。
나도 걱정은 되는데 괜찮을거야.,私も心配だけど大丈夫だろう。
사실 뭐가 유명한지 잘 모르는데.,実は何が有名なのかよくわからないのですが。
니가 먼저 계속 별것도 아닌걸로 잔소리했잖아.,あなたが先にずっと大したことでもないことに小言を言ったじゃないか。
랜드마크지 여기도~ 한번 올라가볼까?,ランドマークだねここも~一度上がってみる?
그래.시간이 벌써 이렇게 됐네.얼른가자.,そうだね。もうこんな時間になったねですね。早く行こう。
참 줄넘기였지?,本当に縄跳びでしたね。
몇개나 사야하는거야?,何個くらい買わなきゃいけないの?
얼른 골라봐~!,早く選んで~!
와우 대박이군요 너무 귀여워요.,わあ、すごいですね、とてもかわいいです。
오케이 그럼 나이키 매장부터 가자.,オーケー、じゃあナイキ売り場から行こう。
금방 드릴게요.,すぐにお渡しします。
혼자 자유여행 왔어요.,一人で自由旅行で来ました。
에휴 이제 뭐 먹고 살아야하나.,ふぅ、これからは何を食べて暮らしていけばいいのかな。
사실은 나도 잘 몰라.,実は私もよく知らない。
산책은 하루에 한번 하시는 건가요?,散歩は一日一回されるんですか?
난 제로콜라 마실래.,私はゼロコーラにする。
엘레베이터는 어디 있나요?,エレベーターはどこにありますか。
이런 인연이 있네요!,こんな縁があるんですね!
순대도 하나 더 추가해서 시키자.,スンデももう一つ追加して注文しよう。
뛰어야 하나?,走らなきゃいけないかな?
결제 끝나면 전화할게.,支払いが済んだら電話します。
자기 그래도 돼?,あなたそれでもいいの?
빨리 먹고 가서 좀 쉬자.,早く食べ終えてちょっと休もうよ。
보비 안녕.,ボビ、こんにちは。
가래떡이라고 불러!,カレトックと言うの!
이게 가래떡이라고?,これがカレトクだって?
아울렛 가는 버스가 몇번이라고 했더라.,アウトレットに行くバスが何番って言ったっけ。
짐 여기 두었구요~ 편안한밤되세요.,荷物をここに置きました〜おやすみなさい。
그런데 너가 힘들다고 맨날 안나오잖아~,しかし、あなたが大変だといつも出てこないじゃないですか~
저기요 여기 양이너무 작은거아닌가요.,あのう、ここ、量が小さすぎませんか?
여기가 괜찮은거같아 들어갈까.,ここがいいと思う、入ってみる?
너만 바쁘니?,忙しいのはあなただけと思っている?
우리 집에서 보자.,私の家で会おう。
이거랑 뭐 시킬까?,これと何を頼もうか?
이번에 행사중이어서 1+1 4900원입니다.,今回はキャンペーン中なので、1+1 4900ウォンです。
혹시 배달도 가능한가요?,もしかして、配達もできますか?
3000원 추가 금액은 퇴실 시 결제 하시면 됩니다.,3000ウォンの追加金額は、退室時にお支払いいただくければよろしいです。
나는 스시 먹고싶어.,私はお寿司が食べたい。
우리 같이 카페가서 맛있는 거 먹자.,私たち、一緒にカフェに行っておいしいものを食べよう。
재밌는 관광 되세요.,観光を楽しんできてください。
뭐 그럴 수도 있지.,まあ、そんなこともあるよ。
참외세개에 오천원입니다.,うり三個で五千ウァンです。
피자빵 50개 가능합니다.,ピザパン50個はできます。
먼저 찾는 사람이 말해주기로 하자.,先に探した人が言ってくれることにしよう。
뭐 어쩌라고 싸울까?,何をどうしろと、戦うか?
그러면 밤식빵은 남았나요.,では、栗食パンは残っていますか?
우리 아직 저녁 안먹었잖아.,私たちまだ夕食をとってないじゃない。
혹시 해보시고 어려우시면 저희에게 다시 연락주세요.,試してみて、もし難しいようでしたら、また連絡してください。
요즘 유행하는 스타일로요.,今時のはやりのスタイルでですね。
내일은 받아보실 수 있습니다.,明日にはお届けできます。
린넨으로 보고 있습니다.,リネンで見ています。
어떤 악기인지 말씀해주세요.,どのような楽器なのか教えてください。
어떤 음료인지 제품에 관한 자료 보내주세요.,どんな飲料か製品に関する資料を送ってください。
주문번호 알려주시면 확인해드릴게요.,注文番号を教えてくだされば、確認させていただきます。
아뇨 원격으로 진행됩니다.,いいえ、それは遠隔で進行されます。
오늘은 배달이 상당히 빠르네요.,今日は配達がかなり速いですね。
상태에 따라 20분 내외로 끝나는 경우도 있고 훨씬 오래 걸리는 경우도 있습니다.,状態に応じて20分前後で終わる場合もあり、はるかに時間がかかる場合もあります。
해외송금하려고 합니다.,海外送金をしたいんですが。
그러면 다음에 뵙겠습니다.,では、今度伺わせていただきます。
수량은 구체적으로 몇개나 원하시나요?,数量は具体的にいくつご希望ですか。
잘 포장해서 보내주세요.,よく包装して送ってください。
혹시 물건 가격 이외에 배송 비용과 설치 비용을 따로 지불해야 하나요?,もし、商品価格以外の配送費用と設置費用を別々に支払うべきですか?
일단 재부팅 해보고 다시 연락드릴게요.,とりあえず再起動して、改めてご連絡いたします。
일단 불편을 드려서 죄송합니다.,まず、不便をおかけしまして申し訳ございません。
대표님 잠시만 기다려 주시면 감사하겠습니다.,代表様、しばらくお待ちしていただけたらありがたいです。
다른 제품으로 교환해드리겠습니다.,別の製品に交換します。
바로 진행할 수 있나요?,すぐ進めることができますか?
관련부서로 안내해드릴게요.,関連部署にご案内いたします。
앞으로 할인 계획도 없나요?,これから割引の計画もありませんか?
바로 조치해드리겠습니다~,すぐにご対応いたします~
"아니요, 잠시만요.",いいえ、ちょっと待ってください。
수락 누르겠습니다.,受諾を押します。
말씀해 주시면 팀장님과 논의 후 연락드리겠습니다.,話していただければ、チーム長と話をしてから、連絡します。
이해합니다 언제로 날짜 변경할까요?,理解します、日付はいつに変更しましょうか?
사이드미러 좀 구매 하려고 합니다.,ドアミラーをちょっと買いたいのですが。
괜찮습니다 그때 뵙겠습니다.,大丈夫です、その時にお目にかかります。
먼저 저희 컨텐츠에 관심 가져주셔서 정말 감사합니다.,まず、弊社のコンテンツに興味を持っていただいてありがとうございます。
자세한 사항을 듣고 싶은데 만나서 미팅 가능하실까요?,詳細を聞きたいのですが、会って打ち合わせできましょうか。
최대한 빨리 하겠습니다.,できるだけ早くします。
200장 정도 생각합니다.,200枚くらいを考えています。
어떤 대리님 찾고 계시죠?,どの代理を探していますか?
기본효과만 있으면되요.,基本効果だけあれば良いです。
물품 변경한다고 연락받았습니다.,物品変更すると連絡を受けました。
궁금하신 섬유가 있으신가요?,気になる繊維はありますか?
어떤 어플일까요?,どんなアプリでしょうか?
한번 둘러보도록할게요.,一度見てみます。
팀원들 모아서 와주세요.,チームを集めて来てください。
여자들이 축구를 하는 프로그램이에요.,女子たちがサッカーをするプログラムです。
어떤 어플리케이션 이실까요?,どんなアプリケーションでしょうか?
화질설정은 환경설정에 들어가면 조절이 가능합니다.,画質設定は、環境設定に入ると調節が可能です。
제품 입구 부분에 문제가 있습니다.,製品の入り口の部分に問題があります。
그걸로 해보겠습니다.,それにしてみます。
게임 관련한 테스트 프로그램 말씀이시군요.,ゲームに関するテストプログラムのことですね。
구체적으로 어떤 영상인지 말씀해주시겠습니까?,具体的には、どのような映像なのか教えてくださいませんか。
핸들이 약간 안맞아요.,ステアリングホイールは少し傾いています。
계좌번호 알려드릴까요?,口座番号をお教えしましょうか。
어떤 원단을 대량 공급 원하시나요?,どんな生地を大量供給したいですか?
저희 요금제 중에서는 가장 고객님께서 원하시는 것과 일치히네요.,我が社の料金プランの中では最もお客様のご希望と一致しますね。
예산은 얼마든지 들어도 좋습니다.,予算はいくらかかっても大丈夫です。
입금 해드리면 되나요?,入金すればいいですか?
어떤 부분이 궁금하세요?,どんな部分が気になりますか?
참 시국이 문제네요.,本当に時局が問題ですね。
원하는 쇼파의 크기는 얼마인가요?,必要なソファのサイズはいくらですか?
예약 인원은 몇 분이신가요?,ご予約は何人様でございますか。
그러니까요 뭔가 아이디어 회의를 해봐야겠어요.,そうですね、何かアイデア会議をしてみますね。
계약 내용 중 문의사항이 생겨서요.,契約の内容の中で、問い合わせたい事項ができまして。
"스틸강 구매했는데, 원료가 섞인것 같더라구요?",スチール鋼を購入しましたが、原料が混在しているらしいです。
시스템 상에서 확인해보니 주문하신 음식이 이미 조리에 들어간 상태라서 취소가 어렵습니다.,システム上で確認してみると注文された食べ物がすでに調理に入った状態なのでキャンセルが困難です。
미팅 날짜 잘 잡아 주세요 부탁드립니다.,打ち合わせの日程をよろしくお願いします。
출항하도록 하겠습니다.,出港させていただきます。
어떤게 궁금하신거죠?,どんなことが知りたいのですか?
기다릴게요 바로 보내주도록 해요.,待ちます。すぐに送ってください。
다시 운영할 수도 있나요?,また運営することもできますか?
계약서 보내드리겠습니다.,契約書をお送りします。
제가 좀 더 알아보고 다시 전화드릴게요.,私がもう少し調べてみて、改めてお電話します。
다음달 말까지면 가능할것같습니다.,来月末までには可能そうです。
주문번호는 SDS2920입니다.,注文番号はSDS2920です。
사용하고 계신 기종과 어플의 버전을 말해주세요.,お使いの機種とアプリのバージョンを教えてください。
저희 제품 광고 제작문의 드리려고 연락드려요.,うちの製品の広告の製作を問い合わせようと連絡します。
연예인에 따라 달라서요.,芸能人によって異なります。
급하시면 이전 버전 프로그램을 사용하고 계세요.,お急ぎでしたら、以前のバージョンのプログラムをお使いになってください。
8만원 미만으로 이 요금제들이 있는데 천천히 읽어보시고 결정해주세요.,8万ウォン未満では、このようなプランがあり、ゆっくりと読んでみて決定してください。
기한 내에 차질 없이 보내드리겠습니다.,期限内に支障がないようにお送りします。
어느 나라 언어로 제작하고 싶으신가요?,どの国の言語で製造したいですか?
제가 피부톤이 밝아서 밝은 제품으로 부탁드릴게요.,私は明るい肌色ですので、明るい製品でお願いします。
지금 문자로 보내드릴게요.,今、テキストでお送りします。
고객님 말씀하세요.,お客様、おっしゃってください。
현재 논의 중인 컨텐츠는 고민 중에 있습니다.,現在議論されているコンテンツは、悩んでいます。
결정되시면 연락주세요.,決定したらご連絡お願いします。
어떤 콘텐츠를 개발하려고 하시나요?,どんなコンテンツを開発しようとされてますか。
"강도나 길이, 단면모양 말씀해주세요, 저희 홈페이지 보시고 모델명 말씀해주셔도 됩니다.",強度や長さ、断面形状をお聞かせください、当店のホームページをご覧いただいて、モデル名をおっしゃっていただいても結構です。
아무래도 어렵죠.,確かに難しいですね。
서둘러 확인해주세요.,急いで確認してください。
"저희한테 매물이 2대 있습니다, 보시겠어요?",私たちのところに売物が2台ありますが、ご覧になりますか。
확인 후 도와 드리겠습니다.,確認の上、お手伝いします。
대출이 가능한지 확인해드릴게요.,貸し出しが可能か確認させていただきます。
그랬군요 다시 켜보고 안되면 알려주세요.,そうだったんですね、つけ直してみてダメだったら知らせてください。
팩스로 부탁드릴게요.,ファックスでお願いします。
패키지 프로그램으로 보여드리겠습니다.,パッケージのプログラムでお見せします。
18요금제로 바꿔드렸습니다.,18料金プランに変更しました。
그러시군요 잠시만요 확인하겠습니다.,そうですか、少々お待ちください、ご確認いたします。
깔끔하고 넓었으면 좋겠어요.,きれいで広いといいのですが。
15분 컷 가능합니다.,15分内にできます。
오늘 입금이군요 알겠습니다.,本日お振り込みですね、かしこまりました。
국산과 외제차 중에 어떤걸 보시나요?,国産車と外車ではどちらをご覧になりますか?
혹시 어디 부분인가요?,もしかして、どの部分ですか?
저희 회사에서 코나와 비슷한 차를 보여드릴게요.,弊社でコナに似たような車をお見せします。
마감일자를 조금 앞당길 수 있을까요?,締め切り日を少し早めてもらえますか?
터키어 영상이고 30분짜리입니다.,トルコ語の映像で、長さは30分くらいです。
화상 연결이 불안정하네요.,画像の連結が不安定ですね。
농수산물을 수출하고 싶어요.,農水産物を輸出したいんです。
기한은 언제까지 하면 될까요?,期限はいつまでにすればいいですか?
가능합니다 1차 완성본이 지금 막 나와서 테스트하고 있습니다 잘 다듬어서 보내드릴게요.,可能です、1回目の試作品がちょうど今出たのでテスト中です、丁寧に直してお送りします。
연비도 괜찮고 색상은 블랙과 화이트 두개입니다.,燃費もいいですし、色は黒と白の2色です。
높이 조절 가능한 책상 재고가 얼마나 있나요?,高さ調節可能なデスクの在庫はどれくらいありますか?
담당자에게 연락드리라고 하겠습니다.,担当者にご連絡するようにします。
점검 후 연락 부탁드립니다.,点検の後、ご連絡をお願いします。
작업도중에 자주 다운되는 현상이 발생합니다.,動作中にダウンすることがよくあります。
이번주는 다 괜찮습니다.,今週は全て大丈夫です。
제휴 희망하시는 드라마 목록을 보내주시겠습니까?,ご希望の提携ドラマの一覧を送っていただけますか?
원하시는 디자인이나 색상 있나요?,デザインや色のご希望はありますか?
아이디를 잃어버렸어요.,IDをなくしました。
여기 이 연관검색어들좀 다 삭제해주세요.,この関連検索語をすべて削除してください。
주문한 건 배송이 너무 오래 걸려서 취소 하고 싶습니다.,注文したものの配送に時間がかかりすぎなので、キャンセルしたいです。
아무래도 유저들이 너무 몰려서 과부하가 난 것 같습니다.,どうやら、ユーザーが殺到しすぎて過負荷になっているようです。
오전 중에 보내드린 메일 내용에 관해 이야기 나눠보고 싶어서요.,午前中にお送りしたメールの内容について話し合ってみたいのですが。
기업대출을 문의하려고 하는데요.,企業向けのローンを問い合わせようと思うのですが。
기업대출을 받으려고 합니다.,企業ローンを組みたいのですが。
기업으로 대출을 받고 싶어요.,企業から融資を受けたいのですが。
지난번 대출건에 대해 여쭤볼게 있어서요.,先日のローンの件に対してお聞きしたいことがありますが。
이번 가요프로그램에 mc를 뽑는다고 하던데.,今度の歌謡プログラムで司会を選ぶと言われましたが。
기업 플랫폼 관련하여 논의드릴 사항이 있어 연락드렸습니다.,企業のプラットフォームについて議論する事項があり、ご連絡しました。
저희 기업 제품을 스폰하고 싶어요.,弊社の製品を広告させていただきたいのですが。
코로나 때문에 취소하고 싶어요.,コロナのためにキャンセルしたいです。
새로운 이벤트를 할까해서요.,新しいイベントをしようと思っていまして。
화장품 성분 분석표 받을 수 있을까요?,化粧品の成分分析表をもらえますか?
저희 견적서 팩스로 보내주신다고 했는데 아직도 못 받아서요.,私どもの見積書をファックスで送ってくれると言ったのですが、まだ届いていないのです。
지난번에 말씀드린 기능성 섬유 샘플을 보내주실 수 있을까요?,先日お話しした機能性繊維のサンプルを送っていただけますか?
섬유 좀 공급받고 싶어서 연락 드렸습니다.,繊維の供給を受けたくて連絡しました。
보내주신 자료 잘 보았습니다.,送っていただいた資料はありがとうございました。
가구 제작 의뢰를 하려고요.,家具の制作依頼をしたいと思っているのですが。
장롱을 하나 주문제작 맡기고 싶어서요.,タンスを一つ、オーダーメイドを任せたいと思いまして。
지금 계획서 어디까지 작성됐나요?,今計画書はどこまで作成されたんですか?
자동차를 구입하려고 합니다.,車を買いたいのです。
여기도 자동차 시승 안돼는건가요?,ここも車の試乗はできないのでしょうか?
모닝 부품 구할 수 있을까요?,モーニングの部品をお願いできますか。
쏘나타를 사고 싶어요.,ソナタを買いたいです。
카달로그가 있으면 보고 생각할려고요.,カタログがあれば、見て考えたいと思います。
"저희 홈페이지에 공지되어 있습니다, 참고해 주세요.",当ホームページでお知らせしております、参考にしてください。
여러모로 장점이 많은 것 같군요.,いろいろメリットが多いようですね。
자동이체 희망하시는 해당 계좌번호를 알려주시겠습니까?,自動引き落としをご希望する該当口座番号を教えていただけますか?
일단 영상 바로 메일로 보내보겠습니다.,とりあえず、映像をすぐにメールで送ってみます。
그렇군요 그거 구매하고 싶어요.,なるほど、それを購入したいです。
금액이 얼마인가요?,金額がいくらですか。
회사 메일로 부탁드립니다.,会社のメールでお願いします。
그러면 진행 상황을 자세히 설명드리겠습니다.,それでは、進行状況を詳しく説明します。
지금 바로 넣어드릴께요.,すぐにお入れします。
신혼가구로 부탁드려요.,新婚家具でお願いします。
직접 수거 요청 해주셔야 합니다.,ご自身で引き取りをお願いしなければなりません。
면 종류로 보고 계신거죠?,麺の種類で見ていらっしゃいますよね?
저희는 로맨스 코미디에요.,私たちはロマンスコメディーです。
출고까지 얼마나 걸리나요?,出庫までどのくらいかかりますか?
메인화면에 있는 캐릭터 크기와 색상을 변경하고 싶습니다.,メイン画面のキャラクターの大きさと色を変更したいです。
어떤 부분에서 오류가 나는지 알려주실 수 있나요?,どの部分でエラーが出るのか教えてもらえますか?
구입하려는 차종이 있으신가요?,お買い求めの車種はございますか?
"따로 준비된 광고는 없고, 드라마나 예능 프로그램에서 PPL로 사용해 주셨으면 좋겠는데.",別に用意された広告はなく、ドラマや芸能番組でPPLとして使ってほしいのですが。
식탁을 좀 제작하려는데요.,食卓を製作しようと思いますが。
이것보다 진한 회색은 저쪽에 있습니다.,これより濃いグレーはあちらにございます。
도로로 나가볼까요?,道路に出てみましょうか?
아무래도 그렇겠죠?,さすがにそうでしょう?
괜찮을 거예요.,大丈夫だと思います。
다음주 수요일에 3시에 만납시다.,来週の水曜日の3時に会いましょう。
설명서 여기 있습니다.!,マニュアルがここにあります。
기간은 얼마나 걸리는지요.,期間はどのくらいかかるのでしょうか。
보이지 않네요.,見えませんね。
그럼 확인하고 말씀드릴게요.,では、確認してから申し上げますね。
"지금 처리했습니다, 확인해 주세요.",いま処理しました、確認してください。
작업 내용 보여드릴게요.,作業内容をお見せします。
제작기간은 한 일주일정도 걸릴것 같습니다.,製作期間は凡そ一週間ほどかかりそうです。
2천5백만원 정도요.,2千5百万ウォンくらいです。
심플한 디자인을 원해요.,シンプルなデザインが欲しいです。
아이디 복구 해드렸구요.,アイディーを復元させていただきました。
그럼 일단은 기다려 볼게요.,では、とりあえず待ってみます。
말씀하시면 신청해드릴게요.,言ってくだされば申し込んであげます。
모텔 정보 좀 저희 쪽으로 보내주실래요?,モーテルのインフォメーションをこちらに送っていただけますか。
그럼 확인 후 견적서 부탁드릴게요.,では確認してから見積書をお願いします。
어디에 제출하면 되나요?,どこに提出すればいいですか。
그럼 시간맞춰 오세요.,では、時間通りに来てください。
궁금한 건 그게 다예요.,気になるのはそれだけです。
먼저 본인 확인 부탁드립니다.,まず、本人確認をお願いします。
회원가입은 사이트에서 가능합니다.,会員登録はサイトからできます。
어떤 종류의 앱을 제작하고 싶은지 생각해보셨나요?,どんな種類のアプリが制作したいか考えてみましたか?
언어는 어떤 언어로 번역을 원하시는건가요?,言語はどの言語への翻訳をご希望ですか?
회사제품이 뭐죠?,会社の製品は何ですか。
드라마 협찬 가능한가요?,ドラマのスポンサー、できますか?
완료되면 바로 연락드릴게요.,完了しましたらすぐにご連絡します。
계좌로 보내겠습니다.,口座にお送りします。
이제 잘되는거 같아요.,もう大丈夫だと思います。
지금 종료하겠습니다.,いま終了します。
시간은 30분 내외입니다.,時間は30分前後です。
제품 소개서를 이메일로 보내드려도 될까요?,製品の紹介書をメールでお送りしてもよろしいですか?
제가 알람을 확인을 못했네요.,私はアラームを確認できませんでした。
프랑스어로 번역하려고 합니다.,フランス語に翻訳したいのですが。
모닝 매물은 이쪽에 있습니다.,モーニングの売り物はこちらにあります。
어떤 가구를 생각하시는건가요?,どのような家具をお考えですか?
가구는 딱히 최저 수량은 없습니다.,家具は特に最低数量はありません。
3개도 가능합니까?,3個もできますか?
매트리스 아래쪽으로 서랍이 있는 형태 찾으시는 걸까요?,マットレスの下側に引き出しがあるタイプでお探しでしょうか?
"비밀번호 변경하시구요, 이중 로그인 설정 추천드립니다.",パスワードの変更してください、二重ログインの設定をお勧めします。
그럼 작업완성되면 연락주세요.,では、作業ができましたらご連絡ください。
제가 시간 날 때 연락드릴게요.,私が時間がある時に連絡致します。
금요일 오후로 잡아 주세요.,金曜日の午後にしてください。
번역하는데 얼마나 걸리나요?,翻訳するのにどれくらいかかりますか?
간단한 문항들로 진행 됩니다.,簡単な問題で行われます。
침대랑 수납장을 제작 하려구요.,ベッドと収納棚を作りたいです。
그럼 지금 바로 시작할까요?,では、早速始めましょうか。
저희 제품은 드라마입니다.,うちの製品はドラマです。
쇼파를 제작하고 싶어요.,ソファを作りたいんです。
화상 영어는 처음 하시는걸까요?,ビデオ通話の英語勉強は初めてなのでしょうか?
유지보수는 OTT 플랫폼에서 제공하지 않습니다.,メンテナンスはOTTプラットフォームでは提供しません。
다시 생각해보고 연락할게요.,もう一度考えてから連絡します。
다른 직원 불러드릴께요.,ほかのスタッフを呼んできます。
정확한 사이즈를 말씀해 주셔야 합니다.,正確なサイズを言ってください。
이상없는 영상입니다.,異常のない映像です。
그럼 바로 연결해드리겠습니다.,では、すぐにおつなぎします。
네네 그럼 바로 구입하겠습니다.,はいはい、では、早速購入します。
원하시는 수량을 말씀해 주세요.,ご希望の数量をお聞かせください。
다른 언어 어떤걸 말씀이시죠?,ほかの言語はどんなことをおっしゃっていますか。
근처에 고깃집이나 가죠.,近くの焼肉屋でも行きましょう。
그럼 나중에 필요하실 때 다시 연락 주세요.,では、後で必要になったときにまたご連絡ください。
혹시 어떤 제품일까요?,もしかしてどんな製品でしょうか?
20개 는 너무 많은 거 같은데요.,20個は多すぎると思います。
강사분을 제가 고를 수 있나요?,インストラクターの方を私が選べますか?
원하시는 분 고르면 됩니다.,お好きな方をお選びください。
원격으로 도와주실 수 없나요?,遠隔で助けてもらえませんか?
니트소재로 제작 부탁드려요.,ニット素材で製作をお願いします。
그럼 내일 쯤 도착하나요?,では、明日頃届きますか?
신원확인 먼저 해드리겠습니다.,身元の確認を先にさせていただきます。
그럼 얼마가 적당한가요.,じゃい適切な値段はいくらですか?
그럼 확인후 연락 주세요.,では確認してご連絡ください。
그럼 어두운 계열로 보여드릴게요.,では、ダーク系でお見せしましょう。
바로 확인해서 알려드리겠습니다.,すぐに確認してお知らせします。
5~10분내외로 걸릴것같아요.,5~10分前後かかると思います。
